"id","name","value","zf","items__id","items__title"
"1","发动机","A","z","9","异响"
"","","","","11","电子油门延迟"
"","","","","12","漏油"
"","","","","13","机油乳化"
"","","","","14","熄火"
"","","","","18","爆震"
"","","","","24","抖动"
"","","","","34","故障灯亮"
"","","","","35","怠速不稳"
"","","","","37","漏防冻液"
"","","","","38","噪音大"
"","","","","44","无法启动"
"","","","","45","正时链条及齿轮故障"
"","","","","53","喷油嘴故障"
"","","","","63","烧机油"
"","","","","85","油耗高"
"","","","","91","点火线圈故障"
"","","","","114","排气故障"
"","","","","128","连杆断裂"
"","","","","129","曲轴故障"
"","","","","136","缸体破损"
"","","","","137","喷气嘴故障"
"","","","","145","固定螺栓断裂"
"","","","","160","无法提速"
"","","","","163","功率不足"
"","","","","173","火花塞故障"
"","","","","174","油门故障"
"","","","","178","漏气"
"","","","","189","涡轮增压器故障"
"","","","","191","冷却系统故障"
"","","","","198","正时皮带断裂"
"","","","","221","水泵故障"
"","","","","222","皮带断裂"
"","","","","235","发动机壳体破裂"
"","","","","241","发动机下沉"
"","","","","247","缸体生锈"
"","","","","251","气门故障"
"","","","","255","动力消失"
"","","","","328","抱瓦"
"","","","","329","拉缸"
"","","","","336","缸内有异物"
"","","","","339","机油增多"
"","","","","341","电动机故障"
"","","","","342","电动机异响"
"","","","","346","电驱动控制器故障"
"2","变速器","B","z","19","顿挫"
"","","","","20","无法换挡"
"","","","","22","漏油"
"","","","","27","跳挡"
"","","","","33","异响"
"","","","","69","拖挡"
"","","","","77","机械部件故障"
"","","","","84","滑阀箱故障"
"","","","","95","抖动"
"","","","","96","故障灯亮"
"","","","","98","低温保护"
"","","","","115","电脑板故障"
"","","","","184","挡把总成故障"
"","","","","208","共振"
"","","","","246","脱挡"
"","","","","332","加压泵故障"
"","","","","334","无法加速"
"3","离合器","C","z","16","打滑"
"","","","","17","烧毁"
"","","","","65","异响"
"","","","","87","抖动"
"","","","","166","松动"
"","","","","181","沉重"
"","","","","207","漏油"
"","","","","267","离合器失效"
"4","转向系统","D","z","57","失灵"
"","","","","58","漏油"
"","","","","59","异响"
"","","","","80","抖动"
"","","","","106","平衡杆故障"
"","","","","112","助力泵故障"
"","","","","123","卡滞"
"","","","","154","方向盘不正"
"","","","","156","打方向沉重"
"","","","","265","转向机故障"
"","","","","291","故障灯亮"
"","","","","337","方向盘自由间隙过大"
"5","制动系统","E","z","29","刹车失灵"
"","","","","42","生锈"
"","","","","43","异响"
"","","","","47","异常磨损"
"","","","","62","故障灯亮"
"","","","","74","ABS故障"
"","","","","99","漏油"
"","","","","111","抖动"
"","","","","159","手刹故障"
"","","","","196","刹车泵故障"
"","","","","231","刹车鼓爆裂"
"","","","","239","刹车盘问题"
"","","","","250","无法兰盘"
"","","","","269","刹车偏软"
"","","","","270","刹车片移位"
"","","","","333","刹车变硬"
"6","轮胎","F","z","10","磨损"
"","","","","39","鼓包"
"","","","","41","胎压偏低"
"","","","","92","凹陷"
"","","","","100","开裂"
"","","","","130","爆胎"
"","","","","138","胎面变形"
"","","","","142","胎面变色"
"","","","","186","起皮"
"","","","","257","其他问题"
"7","前后桥及悬挂系统","G","z","25","减震器漏油"
"","","","","51","半轴渗油"
"","","","","52","减震器异响"
"","","","","56","底盘异响"
"","","","","83","后桥塌陷"
"","","","","105","压力轴承故障"
"","","","","117","跑偏"
"","","","","124","差速器漏油"
"","","","","125","车轮异响"
"","","","","127","差速器异响"
"","","","","132","车轮脱落"
"","","","","158","前后桥异响"
"","","","","161","球笼套漏油"
"","","","","162","行驶中颠簸"
"","","","","171","减震器过硬"
"","","","","180","减震器生锈"
"","","","","188","车轮松动"
"","","","","200","轮毂螺丝断裂"
"","","","","204","悬挂故障"
"","","","","210","下摆臂故障"
"","","","","225","四轮定位偏差"
"","","","","227","半轴脱落"
"","","","","230","前后桥断裂"
"","","","","245","吃胎偏磨"
"","","","","252","平衡杆异响"
"","","","","261","后轴纵臂断裂隐患"
"8","车身附件及电器","H","z","15","车身异响"
"","","","","21","导航问题"
"","","","","23","无发动机防盗"
"","","","","30","排气管锈蚀"
"","","","","31","排气管异响"
"","","","","40","车辆自燃"
"","","","","48","密封条损坏"
"","","","","49","车身模块故障"
"","","","","50","油箱锁故障"
"","","","","54","三元催化器故障"
"","","","","55","气囊未弹开"
"","","","","60","雨刮器故障"
"","","","","64","车灯模块故障"
"","","","","67","车窗升降故障"
"","","","","68","后备箱故障"
"","","","","71","灯组开关故障"
"","","","","72","门窗异响"
"","","","","73","发电机故障"
"","","","","75","汽油箱漏油"
"","","","","78","汽油泵故障"
"","","","","79","车身生锈"
"","","","","81","漆面起泡开裂"
"","","","","82","车灯不亮"
"","","","","86","四驱系统故障"
"","","","","88","车灯进水"
"","","","","89","天窗异响"
"","","","","90","天窗漏水"
"","","","","93","中控台异响"
"","","","","101","空调问题"
"","","","","103","气囊故障"
"","","","","104","行车电脑故障"
"","","","","109","车身漏水"
"","","","","110","电路故障"
"","","","","113","玻璃开裂"
"","","","","118","安全带故障"
"","","","","119","车钥匙故障"
"","","","","121","空调异味"
"","","","","134","影音系统故障"
"","","","","144","门窗漏风"
"","","","","146","电瓶故障"
"","","","","147","汽油箱异响"
"","","","","149","车门故障"
"","","","","150","排放系统故障"
"","","","","151","喇叭故障"
"","","","","152","中控台故障"
"","","","","155","车载互联故障"
"","","","","157","部件异常磨损"
"","","","","164","车内异响"
"","","","","168","部件开裂"
"","","","","169","座椅故障"
"","","","","170","行车安全辅助系统故障"
"","","","","176","仪表台开裂"
"","","","","179","车身装饰脱落"
"","","","","185","车内异味"
"","","","","192","天窗开关异常"
"","","","","195","自动大灯延迟"
"","","","","197","中控锁故障"
"","","","","201","车身有色差"
"","","","","202","仪表故障"
"","","","","203","胎压监测故障"
"","","","","209","车身不平整"
"","","","","211","后视镜故障"
"","","","","215","防侧滑功能未启动"
"","","","","220","灯罩裂纹或变形"
"","","","","233","车门把手故障"
"","","","","234","传感器故障"
"","","","","240","点火开关故障"
"","","","","243","轮毂问题"
"","","","","244","没有后防撞钢梁"
"","","","","253","定速巡航故障"
"","","","","263","发动机启停系统故障"
"","","","","264","同款不同配置"
"","","","","266","管路老化"
"","","","","268","车身共振"
"","","","","271","油箱有缺陷"
"","","","","289","倒车雷达失灵"
"","","","","335","中控台凹陷"
"","","","","340","充电故障"
"","","","","343","动力电池故障"
"","","","","344","续航里程不准"
"","","","","345","电池组冷却系统故障"
"272","服务态度","I","f","281","互相推诿"
"","","","","282","故意拖延"
"","","","","292","否认质量问题"
"","","","","293","态度蛮横"
"","","","","294","厂家不回复"
"","","","","295","不解决问题"
"","","","","297","不予索赔"
"273","人员技术","J","f","298","多次返修"
"","","","","299","操作不规范"
"","","","","300","修出新问题"
"","","","","301","查不出原因"
"","","","","302","无专用工具"
"","","","","303","维修技术差"
"","","","","304","粗心大意"
"","","","","306","过度维修"
"274","服务收费","K","f","307","变相收费"
"","","","","308","价格不透明"
"","","","","309","定（订）金纠纷"
"","","","","325","强制购买"
"275","承诺不兑现","L","f","310","不履行三包"
"","","","","311","未按时交付"
"","","","","312","提不到车"
"","","","","313","销售承诺不兑现"
"","","","","314","服务承诺不兑现"
"276","销售欺诈","M","f","279","与宣传不符"
"","","","","280","低配当高配卖"
"","","","","283","出售库存车"
"","","","","284","出售问题车"
"","","","","315","变更价格"
"277","配件争议","N","f","316","使用旧件"
"","","","","317","配件质量差"
"","","","","318","无零配件"
"","","","","319","使用非原厂件"
"","","","","320","未按时到货"
"","","","","321","未更换定损配件"
"278","服务流程不完善","O","f","296","活动不通知"
"","","","","305","未经同意维修"
"","","","","324","无维修工单"
"","","","","326","服务网点少"
"","","","","347","充电桩少"
"","","","","348","系统升级问题"
"","","","","353","手续不齐"
"","","","","354","原车配套不全"
"351","其他服务问题","P","f","327","其他"
"352","其他","Q","q","290","厂家不召回"
"","","","","322","疑似设计缺陷"
"","","","","323","召回方案不合理"
"","","","","349","使用说明书不准确"
"","","","","350","疑似减配"
